packet_index,replay_sequence_id,timeline_index,timestamp,src_ip,dst_ip,ttl,transport_layer,src_port,dst_port,tcp_flags,payload_bytes,total_bytes,application_protocol,app_confidence,protocol_enrichment,protocol_evidence,tls_sni,tls_alpn,http_host,dns_query,direction,flow_id
0,0,0,2026-02-28T22:55:06.482909Z,0.0.0.0,255.255.255.255,255.0,udp,68.0,67.0,{},314,342,dhcp,0.96,decoded_layer,[],,,,,broadcast,5e7729811124c764
1,1,1,2026-02-28T22:55:07.959671Z,0.0.0.0,255.255.255.255,128.0,udp,68.0,67.0,{},351,379,dhcp,0.96,decoded_layer,[],,,,,broadcast,5e7729811124c764
2,2,2,2026-02-28T22:55:08.124544Z,10.2.28.88,10.2.28.1,,arp,,,{},0,60,arp,0.95,transport_inference,['transport:arp'],,,,,internal,e82c7d678ce47e61
3,3,3,2026-02-28T22:55:08.124546Z,10.2.28.1,10.2.28.88,,arp,,,{},0,60,arp,0.95,transport_inference,['transport:arp'],,,,,internal,064b7bb09f9033bf
4,4,4,2026-02-28T22:55:08.876793Z,10.2.28.88,10.2.28.2,,arp,,,{},0,60,arp,0.95,transport_inference,['transport:arp'],,,,,internal,098c782587b02f7a
5,5,5,2026-02-28T22:55:08.876795Z,10.2.28.2,10.2.28.88,,arp,,,{},0,60,arp,0.95,transport_inference,['transport:arp'],,,,,internal,1783e77f973b4b95
6,6,6,2026-02-28T22:55:08.956092Z,10.2.28.88,10.2.28.2,128.0,udp,64691.0,53.0,{},94,122,dns,0.96,decoded_layer,['dns_query'],,,,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.mshome.net,internal,28a7979c78663d65
7,7,7,2026-02-28T22:55:08.956094Z,10.2.28.88,10.2.28.2,128.0,udp,54705.0,53.0,{},98,126,dns,0.96,decoded_layer,['dns_query'],,,,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.easyas123.tech,internal,903fab9fda80afb3
8,8,8,2026-02-28T22:55:08.956095Z,10.2.28.88,10.2.28.2,128.0,udp,51473.0,53.0,{},88,116,dns,0.96,decoded_layer,['dns_query'],,,,_ldap._tcp.Default-First-Site-Name._sites.easyas123.tech,internal,ff0b3d1ba73fe7de
9,9,9,2026-02-28T22:55:08.956392Z,10.2.28.2,10.2.28.88,128.0,udp,53.0,54705.0,{},161,189,dns,0.96,decoded_layer,['dns_query'],,,,_ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.easyas123.tech,internal,7eb1dcb2164e1e34
10,10,10,2026-02-28T22:55:08.956453Z,10.2.28.2,10.2.28.88,128.0,udp,53.0,51473.0,{},151,179,dns,0.96,decoded_layer,['dns_query'],,,,_ldap._tcp.Default-First-Site-Name._sites.easyas123.tech,internal,3bb03e67faff48a1
